year,state,count
2014,Australian Capital Territory,12
2014,New South Wales,8986
2014,Northern Territory,77443
2014,Queensland,43102
2014,South Australia,3955
2014,Tasmania,619
2014,Victoria,6597
2014,Western Australia,65334
2015,Australian Capital Territory,30
2015,New South Wales,8202
2015,Northern Territory,86797
2015,Queensland,31663
2015,South Australia,1865
2015,Tasmania,616
2015,Victoria,3766
2015,Western Australia,59313
2016,Australian Capital Territory,52
2016,New South Wales,10643
2016,Northern Territory,38008
2016,Queensland,37164
2016,South Australia,1410
2016,Tasmania,1701
2016,Victoria,2402
2016,Western Australia,35784
2017,Australian Capital Territory,30
2017,New South Wales,14689
2017,Northern Territory,75821
2017,Queensland,35315
2017,South Australia,3474
2017,Tasmania,686
2017,Victoria,4217
2017,Western Australia,88995
2018,Australian Capital Territory,20
2018,New South Wales,13320
2018,Northern Territory,76893
2018,Queensland,49527
2018,South Australia,3883
2018,Tasmania,715
2018,Victoria,4292
2018,Western Australia,99556
2019,Australian Capital Territory,17
2019,New South Wales,63743
2019,Northern Territory,58408
2019,Queensland,42109
2019,South Australia,3954
2019,Tasmania,2982
2019,Victoria,9357
2019,Western Australia,69297
2020,Australian Capital Territory,1564
2020,New South Wales,16229
2020,Northern Territory,29617
2020,Queensland,36785
2020,South Australia,2008
2020,Tasmania,744
2020,Victoria,11002
2020,Western Australia,24499
2021,Australian Capital Territory,5
2021,New South Wales,9767
2021,Northern Territory,51953
2021,Queensland,32432
2021,South Australia,1098
2021,Tasmania,489
2021,Victoria,3720
2021,Western Australia,38116
2022,Australian Capital Territory,4
2022,New South Wales,4854
2022,Northern Territory,55182
2022,Queensland,26849
2022,South Australia,1026
2022,Tasmania,395
2022,Victoria,1820
2022,Western Australia,37493
2023,Australian Capital Territory,9
2023,New South Wales,14103
2023,Northern Territory,136961
2023,Queensland,62751
2023,South Australia,4440
2023,Tasmania,499
2023,Victoria,3757
2023,Western Australia,97033
2024,Australian Capital Territory,11
2024,New South Wales,7923
2024,Northern Territory,70664
2024,Queensland,60639
2024,South Australia,1330
2024,Tasmania,649
2024,Victoria,5095
2024,Western Australia,33115
