date,year,count
2014-01-01,2014,557
2014-02-01,2014,65
2014-03-01,2014,168
2014-04-01,2014,1003
2014-05-01,2014,5367
2014-06-01,2014,9824
2014-07-01,2014,7010
2014-08-01,2014,12555
2014-09-01,2014,14502
2014-10-01,2014,16061
2014-11-01,2014,8957
2014-12-01,2014,1374
2015-01-01,2015,151
2015-02-01,2015,305
2015-03-01,2015,2591
2015-04-01,2015,7918
2015-05-01,2015,13389
2015-06-01,2015,7005
2015-07-01,2015,8471
2015-08-01,2015,8954
2015-09-01,2015,11254
2015-10-01,2015,12911
2015-11-01,2015,12876
2015-12-01,2015,972
2016-01-01,2016,805
2016-02-01,2016,203
2016-03-01,2016,371
2016-04-01,2016,3100
2016-05-01,2016,2609
2016-06-01,2016,6338
2016-07-01,2016,10231
2016-08-01,2016,5006
2016-09-01,2016,992
2016-10-01,2016,2264
2016-11-01,2016,4537
2016-12-01,2016,1552
2017-01-01,2017,28
2017-02-01,2017,308
2017-03-01,2017,360
2017-04-01,2017,1606
2017-05-01,2017,9486
2017-06-01,2017,8584
2017-07-01,2017,5505
2017-08-01,2017,10333
2017-09-01,2017,14697
2017-10-01,2017,8135
2017-11-01,2017,8494
2017-12-01,2017,8285
2018-01-01,2018,809
2018-02-01,2018,226
2018-03-01,2018,361
2018-04-01,2018,8836
2018-05-01,2018,14686
2018-06-01,2018,8896
2018-07-01,2018,8317
2018-08-01,2018,5101
2018-09-01,2018,8901
2018-10-01,2018,8624
2018-11-01,2018,6104
2018-12-01,2018,6032
2019-01-01,2019,2673
2019-02-01,2019,484
2019-03-01,2019,865
2019-04-01,2019,1733
2019-05-01,2019,4401
2019-06-01,2019,8728
2019-07-01,2019,10279
2019-08-01,2019,6742
2019-09-01,2019,5297
2019-10-01,2019,9277
2019-11-01,2019,2433
2019-12-01,2019,5496
2020-01-01,2020,355
2020-02-01,2020,83
2020-03-01,2020,200
2020-04-01,2020,1046
2020-05-01,2020,5298
2020-06-01,2020,5953
2020-07-01,2020,7786
2020-08-01,2020,2172
2020-09-01,2020,2435
2020-10-01,2020,1603
2020-11-01,2020,2422
2020-12-01,2020,264
2021-01-01,2021,71
2021-02-01,2021,31
2021-03-01,2021,36
2021-04-01,2021,1572
2021-05-01,2021,9563
2021-06-01,2021,4390
2021-07-01,2021,6532
2021-08-01,2021,8753
2021-09-01,2021,5025
2021-10-01,2021,8143
2021-11-01,2021,5248
2021-12-01,2021,2589
2022-01-01,2022,1075
2022-02-01,2022,360
2022-03-01,2022,2429
2022-04-01,2022,3326
2022-05-01,2022,9173
2022-06-01,2022,5928
2022-07-01,2022,7601
2022-08-01,2022,7304
2022-09-01,2022,4436
2022-10-01,2022,5429
2022-11-01,2022,7160
2022-12-01,2022,961
2023-01-01,2023,40
2023-02-01,2023,431
2023-03-01,2023,1049
2023-04-01,2023,1478
2023-05-01,2023,11222
2023-06-01,2023,5755
2023-07-01,2023,5721
2023-08-01,2023,6709
2023-09-01,2023,21168
2023-10-01,2023,58964
2023-11-01,2023,15601
2023-12-01,2023,8823
2024-01-01,2024,2200
2024-02-01,2024,103
2024-03-01,2024,31
2024-04-01,2024,3093
2024-05-01,2024,6906
2024-06-01,2024,6691
2024-07-01,2024,5990
2024-08-01,2024,5452
2024-09-01,2024,5586
2024-10-01,2024,20305
2024-11-01,2024,12685
2024-12-01,2024,1622
